metric,value
loss,0.7076115012168884
threshold,0.5257588624954224
target_sensitivity,0.9
accuracy,0.52659069325736
precision,0.8860294117647058
sensitivity,0.44437615242778117
specificity,0.8058455114822547
f1,0.5918952108063855
balanced_accuracy,0.6251108319550179
true_positive,723.0
false_positive,93.0
false_negative,904.0
true_negative,386.0
malignant_support,1627.0
benign_support,479.0
num_examples,2106.0
