metric,value
loss,0.7033228874206543
threshold,0.49417197704315186
target_sensitivity,0.9
accuracy,0.6547958214624882
precision,0.900355871886121
sensitivity,0.6220036877688998
specificity,0.7661795407098121
f1,0.7357324609233007
balanced_accuracy,0.694091614239356
true_positive,1012.0
false_positive,112.0
false_negative,615.0
true_negative,367.0
malignant_support,1627.0
benign_support,479.0
num_examples,2106.0
