metric,value
loss,0.833080530166626
threshold,0.3991658687591553
target_sensitivity,0.9
accuracy,0.587369420702754
precision,0.9287330316742082
sensitivity,0.5046097111247695
specificity,0.8684759916492694
f1,0.6539227399442453
balanced_accuracy,0.6865428513870194
true_positive,821.0
false_positive,63.0
false_negative,806.0
true_negative,416.0
malignant_support,1627.0
benign_support,479.0
num_examples,2106.0
