epoch,split,loss,dice,iou
1,train,0.5792587825030543,0.8449062782078807,0.7709712715598931
1,val,0.26639373323630766,0.8735922630367383,0.8097659404811963
2,train,0.3819338076104872,0.868258835632105,0.801583582463326
2,val,0.2254885649664806,0.884297237695892,0.8238858144139983
3,train,0.35144330297377296,0.8752769156329657,0.8106064319890102
3,val,0.23797092395402042,0.8784115848645486,0.815330745418215
4,train,0.338021627239717,0.8781152079700725,0.8144195277903312
4,val,0.21086882238016755,0.8927562402897193,0.8354661344179038
5,train,0.33134873495257056,0.879984429545028,0.817010800067034
5,val,0.20812795734633513,0.8905529881435665,0.8327675136060663
6,train,0.3282112086940762,0.8807109570587086,0.8181848026384083
6,val,0.21805749849869255,0.8885954182004668,0.8297393116794649
7,train,0.3244091893468764,0.8823785038374513,0.8206773964908729
7,val,0.20650518762935055,0.8902634085853243,0.8338108860729821
8,train,0.3187852875970453,0.8835775902514441,0.8220490018759634
8,val,0.1937531192120307,0.8969048714377189,0.8437140141028524
9,train,0.3178955713791417,0.8838801458041246,0.8229127591967164
9,val,0.21177587625596042,0.8873039617564509,0.828180030069716
10,train,0.3091481426536408,0.8875423316938796,0.8272823254640049
10,val,0.20798321304425516,0.8878440703850626,0.8290972563086964
11,train,0.30618518269495276,0.8878312999031049,0.8278288698699522
11,val,0.1973857455403427,0.8940821746007992,0.8387985480287687
12,train,0.30443617808965556,0.8884771352356512,0.8286725363725794
12,val,0.20242611009403655,0.8922431703473701,0.8355453626705649
13,train,0.29866120515332273,0.8900206403463974,0.8312679456518516
13,val,0.20999523740811427,0.8878976627777183,0.8299981218869569
14,train,0.2981228379648428,0.8909687511666579,0.8315402032831489
14,val,0.1890809062481578,0.899551222233173,0.8447532259701379
15,train,0.29368769099710973,0.8923114366995352,0.8338844717806696
15,val,0.19896258633644853,0.8944323007526294,0.839209758844532
16,train,0.2890937071455182,0.8933626432211988,0.8351184951462471
16,val,0.18947893478831307,0.8955178404114937,0.8412286111565886
17,train,0.2867619742018117,0.8946687622478391,0.8368157271343826
17,val,0.2101233633733838,0.883562495148247,0.8254919954336406
18,train,0.2840139683235572,0.8950407980894288,0.8375524507457738
18,val,0.19610644418929443,0.892990401208075,0.8369797976290594
19,train,0.27852057278645415,0.8979220987065036,0.8409614996921275
19,val,0.18772828741803196,0.8976429068977064,0.8439224710881384
20,train,0.27553688751365485,0.8997240077708558,0.8430529036946761
20,val,0.19842444315471283,0.8890653242830371,0.834615751693809
21,train,0.27267691853771736,0.9002100047584435,0.8437441366638416
21,val,0.19563905514084576,0.8922903000331316,0.8372214192249736
22,train,0.2676299729352819,0.9036496366174391,0.8478800694939679
22,val,0.1906683607423892,0.8966575369157427,0.8429854805352258
23,train,0.26586220648406117,0.9029679347314421,0.8473701572082806
23,val,0.19445102466423003,0.8951059218312873,0.8404648818604933
24,train,0.26336865857295944,0.9034521693641108,0.8482141486365798
24,val,0.18832399109836484,0.8964514452251581,0.843286761820642
14,test,0.17641719982353715,0.9087878911873031,0.8566243039454268
