metric,value
loss,0.7832135558128357
threshold,0.5028167963027954
target_sensitivity,0.9
accuracy,0.5284900284900285
precision,0.8773809523809524
sensitivity,0.45298094652735094
specificity,0.7849686847599165
f1,0.5974868261045805
balanced_accuracy,0.6189748156436338
true_positive,737.0
false_positive,103.0
false_negative,890.0
true_negative,376.0
malignant_support,1627.0
benign_support,479.0
num_examples,2106.0
